"Path","Type","Level","Project","Kind","Completed"
"Innovative planning","current","LEVEL THREE: Increasing Knowledge","Elective choice 2 of 2","Elective",""
"Innovative planning","current","LEVEL FOUR: Building Skills","Manage projects successfully","Required",""
"Innovative planning","current","LEVEL FOUR: Building Skills","Elective choice 1 of 1","Elective",""
"Innovative planning","current","LEVEL FIVE: Demonstrating Expertise","High performance leadership","Required",""
"Innovative planning","current","LEVEL FIVE: Demonstrating Expertise","Reflect on your path","Required",""
"Innovative planning","current","LEVEL FIVE: Demonstrating Expertise","Elective choice 1 of 1","Elective",""
"Leadership development","current","LEVEL ONE: Mastering Fundamentals","Ice breaker","Required",""
"Leadership development","current","LEVEL ONE: Mastering Fundamentals","Evaluation and feedback","Required",""
"Leadership development","current","LEVEL ONE: Mastering Fundamentals","Researching and presenting","Required",""
"Leadership development","current","LEVEL TWO: Learning Your Style","Managing time","Required",""
"Leadership development","current","LEVEL TWO: Learning Your Style","Understanding your leadership style","Required",""
"Leadership development","current","LEVEL TWO: Learning Your Style","Introduction to toastmasters mentoring","Required",""
"Leadership development","current","LEVEL THREE: Increasing Knowledge","Planning and implementing","Required",""
"Leadership development","current","LEVEL THREE: Increasing Knowledge","Elective choice 1 of 2","Elective",""
"Leadership development","current","LEVEL THREE: Increasing Knowledge","Elective choice 2 of 2","Elective",""
"Leadership development","current","LEVEL FOUR: Building Skills","Leading your team","Required",""
"Leadership development","current","LEVEL FOUR: Building Skills","Elective choice 1 of 1","Elective",""
"Leadership development","current","LEVEL FIVE: Demonstrating Expertise","Manage successful events","Required",""
"Leadership development","current","LEVEL FIVE: Demonstrating Expertise","Reflect on your path","Required",""
"Leadership development","current","LEVEL FIVE: Demonstrating Expertise","Elective choice 1 of 1","Elective",""
"Motivational strategies","current","LEVEL ONE: Mastering Fundamentals","Ice breaker","Required",""
"Motivational strategies","current","LEVEL ONE: Mastering Fundamentals","Evaluation and feedback","Required",""
"Motivational strategies","current","LEVEL ONE: Mastering Fundamentals","Researching and presenting","Required",""
"Motivational strategies","current","LEVEL ONE: Mastering Fundamentals","Table Topics Speaker (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL ONE: Mastering Fundamentals","Evaluator (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL ONE: Mastering Fundamentals","Timer OR Ah-Counter (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL TWO: Learning Your Style","Understanding your communication style","Required",""
"Motivational strategies","current","LEVEL TWO: Learning Your Style","Active listening","Required",""
"Motivational strategies","current","LEVEL TWO: Learning Your Style","Introduction to toastmasters mentoring","Required",""
"Motivational strategies","current","LEVEL TWO: Learning Your Style","Grammarian (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL TWO: Learning Your Style","Topicsmaster (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL TWO: Learning Your Style","Evaluator (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL TWO: Learning Your Style","Toastmaster OR Timer OR Ah-Counter (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL THREE: Increasing Knowledge","Understanding emotional intelligence","Required",""
"Motivational strategies","current","LEVEL THREE: Increasing Knowledge","Elective choice 1 of 2","Elective",""
"Motivational strategies","current","LEVEL THREE: Increasing Knowledge","Elective choice 2 of 2","Elective",""
"Motivational strategies","current","LEVEL THREE: Increasing Knowledge","Toastmaster (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL THREE: Increasing Knowledge","Evaluator (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL THREE: Increasing Knowledge","Topicsmaster OR Table Topics Speaker OR Introductory Mentor (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL THREE: Increasing Knowledge","Choose 1 from: Successful Club Series (post-Oct 2025 only)","Ed Series",""
"Motivational strategies","current","LEVEL FOUR: Building Skills","Motivate others","Required",""
"Motivational strategies","current","LEVEL FOUR: Building Skills","Elective choice 1 of 1","Elective",""
"Motivational strategies","current","LEVEL FOUR: Building Skills","Toastmaster (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL FOUR: Building Skills","General Evaluator (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL FOUR: Building Skills","Evaluator (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL FOUR: Building Skills","Table Topics Speaker OR Topicsmaster OR Specialized Role OR repeat (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL FOUR: Building Skills","Choose 1 from: Successful Club Series (post-Oct 2025 only)","Ed Series",""
"Motivational strategies","current","LEVEL FOUR: Building Skills","Choose 1 from: Better Speaker Series (post-Oct 2025 only)","Ed Series",""
"Motivational strategies","current","LEVEL FIVE: Demonstrating Expertise","Team building","Required",""
"Motivational strategies","current","LEVEL FIVE: Demonstrating Expertise","Reflect on your path","Required",""
"Motivational strategies","current","LEVEL FIVE: Demonstrating Expertise","Elective choice 1 of 1","Elective",""
"Motivational strategies","current","LEVEL FIVE: Demonstrating Expertise","General Evaluator (x2) (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL FIVE: Demonstrating Expertise","Toastmaster (x2) (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL FIVE: Demonstrating Expertise","Evaluator (x2) (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL FIVE: Demonstrating Expertise","Table Topics Speaker OR Topicsmaster OR Ah-Counter OR Timer OR Grammarian OR Club Mentor OR Specialized Role OR repeat (post-Oct 2025 only)","Meeting Role",""
"Motivational strategies","current","LEVEL FIVE: Demonstrating Expertise","Choose 1 from: Successful Club Series (post-Oct 2025 only)","Ed Series",""
"Motivational strategies","current","LEVEL FIVE: Demonstrating Expertise","Choose 1 from: Leadership Excellence Series (post-Oct 2025 only)","Ed Series",""
"Persuasive influence","current","LEVEL ONE: Mastering Fundamentals","Ice breaker","Required",""
"Persuasive influence","current","LEVEL ONE: Mastering Fundamentals","Evaluation and feedback","Required",""
"Persuasive influence","current","LEVEL ONE: Mastering Fundamentals","Researching and presenting","Required",""
"Persuasive influence","current","LEVEL ONE: Mastering Fundamentals","Table Topics Speaker (post-Oct 2025 only)","Meeting Role",""
"Persuasive influence","current","LEVEL ONE: Mastering Fundamentals","Evaluator (post-Oct 2025 only)","Meeting Role",""
"Persuasive influence","current","LEVEL ONE: Mastering Fundamentals","Timer OR Ah-Counter (post-Oct 2025 only)","Meeting Role",""
"Persuasive influence","current","LEVEL TWO: Learning Your Style","Understanding your leadership style","Required",""
"Persuasive influence","current","LEVEL TWO: Learning Your Style","Active listening","Required",""
"Persuasive influence","current","LEVEL TWO: Learning Your Style","Introduction to toastmasters mentoring","Required",""
"Persuasive influence","current","LEVEL TWO: Learning Your Style","Grammarian (post-Oct 2025 only)","Meeting Role",""
"Persuasive influence","current","LEVEL TWO: Learning Your Style","Topicsmaster (post-Oct 2025 only)","Meeting Role",""
"Persuasive influence","current","LEVEL TWO: Learning Your Style","Evaluator (post-Oct 2025 only)","Meeting Role",""
"Persuasive influence","current","LEVEL TWO: Learning Your Style","Toastmaster OR Timer OR Ah-Counter (post-Oct 2025 only)","Meeting Role",""
"Persuasive influence","current","LEVEL THREE: Increasing Knowledge","Understanding conflict resolution","Required",""
"Persuasive influence","current","LEVEL THREE: Increasing Knowledge","Elective choice 1 of 2","Elective",""
"Persuasive influence","current","LEVEL THREE: Increasing Knowledge","Elective choice 2 of 2","Elective",""
"Persuasive influence","current","LEVEL THREE: Increasing Knowledge","Toastmaster (post-Oct 2025 only)","Meeting Role",""
"Persuasive influence","current","LEVEL THREE: Increasing Knowledge","Evaluator (post-Oct 2025 only)","Meeting Role",""
"Persuasive influence","current","LEVEL THREE: Increasing Knowledge","Topicsmaster OR Table Topics Speaker OR Introductory Mentor (post-Oct 2025 only)","Meeting Role",""
"Persuasive influence","current","LEVEL THREE: Increasing Knowledge","Choose 1 from: Successful Club Series (post-Oct 2025 only)","Ed Series",""
"Persuasive influence","current","LEVEL FOUR: Building Skills","Leading in difficult situations","Required",""
"Persuasive influence","current","LEVEL FOUR: Building Skills","Elective choice 1 of 1","Elective",""
"Persuasive influence","current","LEVEL FOUR: Building Skills","Toastmaster (post-Oct 2025 only)","Meeting Role",""
"Persuasive influence","current","LEVEL FOUR: Building Skills","General Evaluator (post-Oct 2025 only)","Meeting Role",""
"Persuasive influence","current","LEVEL FOUR: Building Skills","Evaluator (post-Oct 2025 only)","Meeting Role",""
